LPdom_LPfor	LBVwil_LPdom	LBVwil_LPfor
19208.633215045433	25425.73619619158	25425.73619619158
69706.81466515298	89342.55848816478	89342.55848816478
12165.017361185053	126809.05964840678	126809.05964840678
31837.01404070992	30254.804820845726	30254.804820845726
27979.70746852666	20968.186751662288	20968.186751662288
27157.047570672083	308504.50471421704	308504.50471421704
13999.064051155096	4613.848879615517	4613.848879615517
75483.3774085778	8445.492143953275	8445.492143953275
12853.988023354968	88170.0233017617	88170.0233017617
0.0	68756.34170019819	68756.34170019819
61337.48440533857	83920.16449790528	83920.16449790528
21596.108072762974	164088.94699747342	164088.94699747342
9741.577318780022	85406.74451150572	85406.74451150572
32459.194098314547	1208301.9507379243	1208301.9507379243
18706.09543122184	388564.9330192051	388564.9330192051
63889.463592177184	759653.6787961329	759653.6787961329
38914.50835791941	61194.017691939865	61194.017691939865
86652.01045119118	1167067.1120801084	1167067.1120801084
0.0	557563.0787839986	557563.0787839986
0.0	21927.643366979268	21927.643366979268
112404.7131488892	74748.45386961245	74748.45386961245
66336.28861620372	25802.96398525955	25802.96398525955
28607.798793227423	67933.89249871936	67933.89249871936
124911.57288621966	24867.29088165515	24867.29088165515
13308.770686131133	70722.86557358244	70722.86557358244
153351.85149087763	180830.81383657112	180830.81383657112
16604.305694216117	302459.3403585608	302459.3403585608
43369.876486401066	26458.05868054265	26458.05868054265
0.0	44835.304267620646	44835.304267620646
15840.385488674467	134135.6183512518	134135.6183512518
30836.746732884138	267396.785367246	267396.785367246
32292.52811173393	456845.8696765422	456845.8696765422
20460.984559623153	238140.50654102935	238140.50654102935
18146.14267100309	383629.6429729481	383629.6429729481
11932.828747909156	11419.02294444983	11419.02294444983
66136.7591545042	86206.71549550345	86206.71549550345
105412.2375535572	245477.20084186608	245477.20084186608
8113.602573837687	68369.09267555854	68369.09267555854
17454.26778561263	10795.356284758709	10795.356284758709
46902.794667746086	4856.780074996794	4856.780074996794
0.0	246051.82115332634	246051.82115332634
